marketPrice,marketPriceDate,averageListPrice,averageListQty,benchmarkTradePrice,mk_price_minus_bmk_price,list_price_minus_bmk_price,benchmarkTradeDate,wineName,region,vintage,importdate,lwin_11,lwin_7
4400,17/06/2021,4688,22,4400,0,288,29/09/2020,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2001,29/06/2021,10127812001,1012781
5600,28/06/2021,5851,100,5254,346,597,26/05/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2018,29/06/2021,10127812018,1012781
3750,17/06/2021,4043,74,3690,60,353,13/04/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2011,29/06/2021,10127812011,1012781
1380,28/06/2021,1443,7,1352,28,91,23/09/2020,"Gaja, Barbaresco",Piedmont,2011,29/06/2021,10996052011,1099605
540,28/06/2021,527,2,300,240,227,03/11/2011,"Tua Rita, Giusto di Notri, Toscana",Tuscany,2007,29/06/2021,11058072007,1105807
3300,08/06/2021,3457,13,3180,120,277,05/03/2021,"Chateau Angelus Premier Grand Cru Classe B, Saint-Emilion Grand Cru",Bordeaux,2003,09/06/2021,10060452003,1006045
1050,07/07/2021,1074,8,880,170,194,22/06/2021,"Tignanello, Toscana",Tuscany,2011,08/07/2021,10953912011,1095391
3740,28/06/2021,4016,53,3520,220,496,07/04/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2013,29/06/2021,10127812013,1012781
1350,28/06/2021,1475,60,1260,90,215,18/02/2021,"Gaja, Barbaresco",Piedmont,2015,29/06/2021,10996052015,1099605
950,27/05/2021,1003,59,863,87,140,10/05/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2006,28/05/2021,10074752006,1007475
3900,27/05/2021,4433,92,3800,100,633,12/05/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2008,28/05/2021,10127812008,1012781
790,27/05/2021,921,31,794,-4,127,20/04/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2014,28/05/2021,10074752014,1007475
6300,27/05/2021,7563,55,6190,110,1373,23/05/2021,"Chateau Margaux Premier Cru Classe, Margaux",Bordeaux,2010,28/05/2021,10127812010,1012781
1290,26/05/2021,1368,8,1172,118,196,07/04/2021,"Tignanello, Toscana",Tuscany,2010,28/05/2021,10953912010,1095391
789,27/05/2021,977,21,745,44,232,16/11/2020,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2004,28/05/2021,10074752004,1007475
1050,24/05/2021,1213,22,940,110,273,18/03/2021,"Chateau Calon Segur 3eme Cru Classe, Saint-Estephe",Bordeaux,2000,28/05/2021,10074752000,1007475
1300,27/05/2021,1331,6,1200,100,131,06/03/2021,"Tignanello, Toscana",Tuscany,2007,28/05/2021,10953912007,1095391
